,BO21_chlomean_ss,BO21_chlorange_ss,BO21_curvelmean_ss,BO21_curvelrange_ss,BO21_curvelmean_bdmin,BO21_curvelrange_bdmin,BO21_salinitymean_ss,BO21_salinityrange_ss,BO21_salinitymean_bdmin,BO21_salinityrange_bdmin,BO21_tempmean_ss,BO21_temprange_ss,BO21_tempmean_bdmin,BO21_temprange_bdmin
1,0.202077,0.245978,0.193146884,0.308355451,0.192843527,0.280691534,31.4472,2.69265,32.147144,1.752319,29.10471,4.12089,29.242724,4.09479
2,0.167044,0.432687,0.085195407,0.138583332,0.080202371,0.133623257,33.235387,2.670085,32.733841,1.920492,25.255077,13.75544,25.495374,13.521548
3,0.243468,0.397015,0.08425653,0.114030607,0.070909701,0.089493573,22.716748,9.143525,29.306757,10.166489,29.207947,5.495518,29.345447,5.536441
4,0.333278,0.955692,0.10074459,0.142650291,0.10074459,0.142650291,32.073315,4.535244,33.265198,2.125042,29.024103,2.728531,29.019622,2.93779
5,0.421963,0.92874,0.166098237,0.290790915,0.157179505,0.287739843,21.075478,22.388478,29.203987,5.83305,27.764437,7.282486,27.871163,7.608398
6,0.244089,0.373366,0.11167641,0.174616322,0.111676402,0.174616322,31.798684,3.712106,33.00428,1.958393,29.064064,2.691221,29.063458,2.468675
7,0.124055,0.521194,0.080246121,0.090931647,0.0622578,0.090690933,33.205534,2.694408,32.81554,1.867571,25.461988,13.172361,25.571042,13.171562
8,0.228805,0.336075,0.187693104,0.312797308,0.196633205,0.32564497,29.201712,1.943424,30.863754,2.504641,29.325027,3.419188,29.53986,3.476679
9,0.386971,0.451604,0.066857405,0.101718009,0.066857405,0.101718016,27.921131,8.052795,32.481625,0.841915,29.272879,3.012266,29.533719,3.507705
10,0.530011,0.591966,0.406077594,0.72520262,0.392834812,0.693047643,30.443041,2.987627,30.888418,2.469456,29.207224,3.737394,29.433987,3.723329
11,0.296733,0.449706,0.126026794,0.1881098,0.126026794,0.1881098,29.727675,2.967815,30.317047,2.862539,29.269409,3.14447,29.516849,3.572965
12,0.187613,0.333347,0.201819077,0.308139563,0.20109041,0.312290102,32.197817,3.641641,33.19997,2.275984,29.09127,2.525951,29.00614,3.177909
13,0.235259,1.164724,0.310453624,0.534265578,0.313345224,0.544141889,30.460923,14.290947,30.202646,7.273262,28.091928,6.15447,28.232198,5.869303
14,0.266226,0.415195,0.085777178,0.135858729,0.085777178,0.135858729,30.498283,4.79583,31.735037,1.720007,29.771677,2.306454,29.872458,2.461418
15,0.115366,0.181493,0.090243429,0.126623005,0.090243429,0.126623005,32.00523,3.553493,32.685265,1.826376,29.350557,3.481182,29.284599,3.711481
16,0.496983,0.532962,0.209121495,0.273286432,0.205354229,0.269540012,30.856571,3.637304,33.139797,1.139771,28.981844,3.986849,29.008737,4.175551
17,1.207369,2.42,0.512157321,0.830156505,0.519979417,0.804071605,31.231522,4.313377,32.284653,2.218321,29.093754,2.383022,29.237953,2.378047
18,0.331765,0.401388,0.081389986,0.13751705,0.087741263,0.143108681,31.261115,5.013047,31.726856,1.681391,29.554365,2.629793,29.76497,2.821129
19,0.297085,0.476716,0.037701096,0.050558332,0.045901287,0.058585826,29.892353,6.542022,30.05055,3.10117,29.14959,3.217941,29.505518,3.463381
20,0.223253,0.357951,0.128569216,0.182331085,0.128569216,0.182331085,31.25485,2.791188,32.302753,1.135754,29.363497,3.930908,29.416682,3.973265
21,0.207327,0.264745,0.073998615,0.116450414,0.085949197,0.139553055,30.496283,4.015471,33.06419,0.900211,29.2034,3.968271,29.15553,4.167375
22,0.146965,0.112924,0.093547091,0.128644362,0.099732541,0.12924166,30.921927,4.739959,33.909611,0.863529,29.465416,2.045963,29.182224,2.529756
23,1.252363,2.300244,0.108555838,0.149687618,0.120053947,0.166708723,28.580634,15.555783,33.028641,1.99818,28.064806,5.480234,28.087503,5.814278
24,0.148721,0.304315,0.167480692,0.250055581,0.18479538,0.309004784,32.860939,4.443585,33.375786,0.991089,27.278759,6.745333,27.561322,6.326389
25,0.194991,0.508994,0.147118583,0.203245819,0.159313723,0.218416736,33.237579,2.387044,32.2188,2.896515,25.142691,13.357277,25.513684,13.287227
26,0.595009,1.149893,0.232141525,0.319115132,0.232141525,0.319115132,29.550831,15.47655,32.873226,2.953903,28.407707,5.954672,28.427915,5.775127
27,0.148721,0.304315,0.167480692,0.250055581,0.18479538,0.309004784,32.860939,4.443585,33.375786,0.991089,27.278759,6.745333,27.561322,6.326389
28,0.16031,0.229655,0.081457868,0.122287802,0.075004667,0.112811357,30.038964,4.025132,31.79727,2.175659,29.169922,4.365267,29.187914,4.166063
